date,prediction_score,prediction_created_at,prediction_model,forecast_seen,actual_score,actual_class,domain,event_summary,confidence_actual,notes,instruction
2026-07-24,3,2026-07-23T10:51:06+00:00,engine_v18_5_frozen,,,,,,,,Enter independent after-day outcome only; do not use PDF/Excel/expert verdict.
2026-07-25,-3,2026-07-23T10:51:06+00:00,engine_v18_5_frozen,,,,,,,,Enter independent after-day outcome only; do not use PDF/Excel/expert verdict.
2026-07-26,3,2026-07-23T10:51:06+00:00,engine_v18_5_frozen,,,,,,,,Enter independent after-day outcome only; do not use PDF/Excel/expert verdict.
2026-07-27,-3,2026-07-23T10:51:06+00:00,engine_v18_5_frozen,,,,,,,,Enter independent after-day outcome only; do not use PDF/Excel/expert verdict.
2026-07-28,-3,2026-07-23T10:51:06+00:00,engine_v18_5_frozen,,,,,,,,Enter independent after-day outcome only; do not use PDF/Excel/expert verdict.
2026-07-29,-2,2026-07-23T10:51:06+00:00,engine_v18_5_frozen,,,,,,,,Enter independent after-day outcome only; do not use PDF/Excel/expert verdict.
2026-07-30,3,2026-07-23T10:51:06+00:00,engine_v18_5_frozen,,,,,,,,Enter independent after-day outcome only; do not use PDF/Excel/expert verdict.
2026-07-31,3,2026-07-23T10:51:06+00:00,engine_v18_5_frozen,,,,,,,,Enter independent after-day outcome only; do not use PDF/Excel/expert verdict.
2026-08-01,2,2026-07-23T10:51:06+00:00,engine_v18_5_frozen,,,,,,,,Enter independent after-day outcome only; do not use PDF/Excel/expert verdict.
2026-08-02,-1,2026-07-23T10:51:06+00:00,engine_v18_5_frozen,,,,,,,,Enter independent after-day outcome only; do not use PDF/Excel/expert verdict.
2026-08-03,3,2026-07-23T10:51:06+00:00,engine_v18_5_frozen,,,,,,,,Enter independent after-day outcome only; do not use PDF/Excel/expert verdict.
2026-08-04,2,2026-07-23T10:51:06+00:00,engine_v18_5_frozen,,,,,,,,Enter independent after-day outcome only; do not use PDF/Excel/expert verdict.
2026-08-05,3,2026-07-23T10:51:06+00:00,engine_v18_5_frozen,,,,,,,,Enter independent after-day outcome only; do not use PDF/Excel/expert verdict.
2026-08-06,-3,2026-07-23T10:51:06+00:00,engine_v18_5_frozen,,,,,,,,Enter independent after-day outcome only; do not use PDF/Excel/expert verdict.
2026-08-07,0,2026-07-23T10:51:06+00:00,engine_v18_5_frozen,,,,,,,,Enter independent after-day outcome only; do not use PDF/Excel/expert verdict.
2026-08-08,3,2026-07-23T10:51:06+00:00,engine_v18_5_frozen,,,,,,,,Enter independent after-day outcome only; do not use PDF/Excel/expert verdict.
2026-08-09,-3,2026-07-23T10:51:06+00:00,engine_v18_5_frozen,,,,,,,,Enter independent after-day outcome only; do not use PDF/Excel/expert verdict.
2026-08-10,3,2026-07-23T10:51:06+00:00,engine_v18_5_frozen,,,,,,,,Enter independent after-day outcome only; do not use PDF/Excel/expert verdict.
2026-08-11,-2,2026-07-23T10:51:06+00:00,engine_v18_5_frozen,,,,,,,,Enter independent after-day outcome only; do not use PDF/Excel/expert verdict.
2026-08-12,-3,2026-07-23T10:51:06+00:00,engine_v18_5_frozen,,,,,,,,Enter independent after-day outcome only; do not use PDF/Excel/expert verdict.
2026-08-13,1,2026-07-23T10:51:06+00:00,engine_v18_5_frozen,,,,,,,,Enter independent after-day outcome only; do not use PDF/Excel/expert verdict.
