segment,product,traction,monetization,strongest_feature,main_gap,overlap,product_response
Panchanga,Drik Panchang,"1M+; 4.8",Ads/IAP,"deep localized Panchanga and reminders",complex and tradition-first,calendar layer,"optional explained calendar; DST/location gate"
Space weather,My Aurora Forecast,"5M+; 4.6",Ads,"simple Kp alerts and maps",aurora-only and alert timing complaints,Kp/alerts,"lead-time controls; observed-vs-forecast labels"
Space weather,SpaceWeatherLive,"500K+; 4.1",Ads/IAP,"data depth and archive",dense navigation,technical detail,"Simple/Detailed same state; glossary"
Astronomy,Sky Tonight,"5M+; 4.7",Ads/IAP,"visual sky and event discovery",no daily operational context,planet events,"visibility cards; no AR map in MVP"
Daily habit,Co-Star,"5M+; 4.6",Subscription,"brand habit and personalization",opaque logic and paywall,personal context,"visible provenance; core context free"
Daily habit,CHANI,Established subscription,Subscription,"human editorial trust",not physical-data driven,daily explanation,"calm human language without causality claims"
Astrology,TimePassages,"500K+; 4.7",IAP,"professional chart depth",complex and personal-data heavy,planet cycles,"optional local profile; no account for MVP"
Moon/wellness,MoonX,"1M+; 4.7",Ads/IAP,"habit and broad lunar content",mystical scope creep,lunar context,"narrow verified core; explicit layer labels"
Planetary planner,Planetaro,"1K+; active",IAP,"planetary-hour activity planner",causality framing,planning language,"avoid best-time promises; evidence labels"
Planetary planner,Flux,"100+; early",Unknown,"dark UI and actionable timeline",small evidence base,visual language,"differentiate on provenance and data age"
Planetary planner,Astral Hours,Niche,Free,"true solar time and alerts",crash reports,time slots,"DST/location automated tests"
Productivity,Aethel,Early,Unknown,"calm local-first planning",generic energy model,day planning,"privacy-first without energy claims"
